一级对象,二级对象,三级对象,故障模式,可能原因,故障影响,是否中断业务,严酷度,故障模式备注,故障预防方法（预期）,故障预防方法（版本现状）,故障检测方法（预期）,故障检测方法（版本现状）,故障处理方法（预期）,故障处理方法（版本现状）,故障定位方法（预期）,故障定位方法（版本现状）,改进建议,故障管理措施备注
datasystem,client,-,client与ds-worker网络闪断,"1.网络拥塞；2.网络不稳定；3.交换机重启",数据读写请求失败,否,一般,"【故障域】本地client-worker",心跳机制保活,ListenWorker 心跳检测,心跳超时检测,"listen_worker.cpp:114 - Cannot receive heartbeat from worker",自动重连、流量切换,"object_client_impl.cpp - SwitchWorkerNode",现象：心跳超时；手段：日志,"K_CLIENT_WORKER_DISCONNECT (23)",NA,检测灵敏度受client_dead_timeout_s控制，默认值为120秒
datasystem,client,-,client与ds-worker网络中断/链路吊死,"1.硬件故障、信令故障等；2.操作系统底层通信服务故障",数据读写请求失败,否,一般,"【故障域】本地client-worker",心跳机制保活,ListenWorker 心跳检测,心跳超时检测,"listen_worker.cpp:103 - The client detects that the worker is disconnected",自动重连、流量切换,"object_client_impl.cpp - SwitchWorkerNode",现象：请求完全不通；手段：日志,"K_CLIENT_WORKER_DISCONNECT (23)",NA,检测灵敏度受node_timeout_s控制，默认值为60s
datasystem,client,-,client与ds-worker网络延时高,"网络拥塞；网络不稳定；交换机重启，设计缺陷；对端负载过重；病毒攻击；大量消息超时",数据读写请求失败,否,一般,"【故障域】本地client-worker",心跳机制保活,ListenWorker 心跳检测,心跳超时检测,listen_worker.cpp:114,自动重试,RetryOnError,现象：请求响应慢，可能超时；手段：日志,"K_TRY_AGAIN (19)",NA,检测灵敏度受node_timeout_s控制，默认值为60s
datasystem,client,-,client与ds-worker丢包,"1.消息包太多；2.处理延迟，接收消息包的任务超时后才收到消息包；3.系统内部消息队列满；4.备份数据量太大，导致网络闪断",数据读写请求失败,否,一般,"【故障域】本地client-worker",队列深度监控,ListenWorker 心跳检测,心跳超时检测,listen_worker.cpp:114,自动重试,RetryOnError,现象：请求超时或部分失败；手段：日志,"K_RPC_TIMEOUT",NA,检测灵敏度受node_timeout_s控制
datasystem,client,-,client与ds-worker包乱序,"1.消息传输路径不一致导致到达目的点顺序错乱；2.消息发送过程中传输路径发生切换",无影响,否,一般,乱序包被rpc框架重排,NA,NA,无,NA,rpc框架对包乱序重排,rpc框架自动处理,现象：业务层面无感知；手段：日志,NA,NA,
datasystem,client,-,client与ds-worker错包/异常包,"1.被异常改写；2.释放后重用；3.数据帧长度判断错误将后续数据内容当作数据头部处理；4.没有判断内容长度异常情况下导致越界；5.传输错误",无影响,否,一般,错包/异常包被rpc框架丢弃重传,NA,NA,无,NA,rpc框架识丢弃异常包,rpc框架自动处理,现象：业务层面无感知；手段：日志,NA,NA,
datasystem,client,-,client与ds-worker建链失败,"1.网络断链；2.上下游服务异常",client无法与worker通信，数据读写请求失败,否,一般,"【故障域】本地client-worker",建链前检查,RegisterClient 返回值检查,建链失败检测,"client_worker_common_api.cpp",自动重试建链,RetryOnError,现象：连接建立失败；手段：日志,"K_RPC_UNAVAILABLE (1001)",NA,
datasystem,client,-,进程终止/异常退出,"1.进程异常；2.进程被误杀",业务实例退出,是,严重,"【故障域】本地client-worker",进程监控,HealthCheck 心跳机制,心跳超时检测,"listen_worker.cpp:114 - Cannot receive heartbeat",自动清理共享内存引用计数,"worker_oc_service_impl.cpp:369-372",现象：心跳超时；手段：日志,"K_CLIENT_WORKER_DISCONNECT (23)",NA,检测灵敏度受client_dead_timeout_s控制，默认值为120秒
datasystem,client,-,进程吊死/饿死,"1.进程被请求的资源(锁/IO)阻塞；2.死循环；3.进程优先级不够，导致无法抢占资源；4.调度器异常，导致平台进程无法被调度",业务实例无法正常运行,是,严重,"【故障域】本地client-worker",资源监控、busy loop检测,心跳超时检测,心跳超时检测,listen_worker.cpp:114,无（依赖外部）,依赖外部监控,现象：进程存在但不响应；手段：日志,"K_CLIENT_WORKER_DISCONNECT (23)",P0: Worker挂死检测优化,当前无法检查进程吊死，需增加busy loop检测
datasystem,ds-worker,-,ds-worker与其他ds-worker TCP网络闪断,"1.网络拥塞；2.网络不稳定；3.交换机重启",数据读写功能受损，RPC重试失败后会报错,是,一般,"【故障域】data worker之间",RPC心跳检测,RPC框架心跳检测,RPC心跳超时检测,"worker_oc_service_get_impl.cpp:153 - RPC timeout",记录日志，重建链路,RetryOnErrorRepent,现象：跨节点请求失败或超时；手段：日志,"K_RPC_DEADLINE_EXCEEDED (19)",NA,
datasystem,ds-worker,-,ds-worker与其他ds-worker TCP网络中断/链路吊死,"1.硬件故障、信令故障等；2.操作系统底层通信服务故障",数据读写功能受损，RPC重试失败后会报错,是,一般,"【故障域】data worker之间",RPC心跳检测,RPC框架心跳检测,RPC心跳超时检测,worker_oc_service_get_impl.cpp:153,记录日志，重建链路,RetryOnErrorRepent,现象：跨节点请求完全不通；手段：日志,"K_RPC_UNAVAILABLE (1001)",NA,
datasystem,ds-worker,-,ds-worker与其他ds-worker TCP网络延时高,"网络拥塞；网络不稳定；交换机重启，设计缺陷；对端负载过重；病毒攻击；大量消息超时",数据读写时延变高，可能出现超时,是,一般,"【故障域】data worker之间",RPC心跳检测,RPC框架心跳检测,RPC心跳超时检测,worker_oc_service_get_impl.cpp:153,记录日志，重试,RetryOnErrorRepent,现象：跨节点请求响应慢；手段：日志,"K_RPC_TIMEOUT",NA,
datasystem,ds-worker,-,ds-worker与其他ds-worker UB链路拥塞,"存在海量URMA连接且同时工作",数据读写时延变高，可能出现超时,是,一般,"【故障域】data worker之间",连接数监控,URMA侧报错检测,超时报错,"urma_manager.cpp:772 - [URMA_RECREATE_JFS]",记录日志，降级TCP,fast_transport_manager_wrapper.cpp,现象：跨节点请求响应慢或超时；手段：日志,"K_URMA_ERROR (1004)",P1: 20ms场景下UB降级优化,当前不支持流控，超时时间内返回错误
datasystem,ds-worker,UB,ds-worker与其他ds-worker基于UB链路数据传输失败,"1.ds-worker与其他ds-worker UB单平面故障，2.ds-worker与其他ds-worker UB多平面故障","数据读写时延受影响，平面切换会引入时延开销，切TCP时开销最大；写入本地不影响",是,一般,"【故障域】data worker之间",URMA状态检测,URMA侧报错检测,URMA报错检测,"urma_manager.cpp:772 - [URMA_RECREATE_JFS]",记录日志，重试,TryReconnectRemoteWorker,现象：跨节点请求响应慢或者超时或失败；手段：日志,"K_URMA_ERROR (1004)",NA,待URMA和元戎数据系统分别具备跨平面切换和切TCP的实现后，存在保证读写可用的能力
datasystem,ds-worker,-,ds-worker与其他ds-worker丢包,"1.消息包太多；2.处理延迟，接收消息包的任务超时后才收到消息包；3.系统内部消息队列满；4.备份数据量太大，导致网络闪断",数据读写功能受损，读写请求超时,是,一般,"【故障域】data worker之间",RPC心跳检测,RPC框架心跳检测,RPC心跳超时检测,worker_oc_service_get_impl.cpp:153,记录日志，重试,RetryOnErrorRepent,现象：跨节点请求超时或部分失败；手段：日志,"K_RPC_TIMEOUT",NA,当前是会单次请求访问失败
datasystem,ds-worker,-,ds-worker与其他ds-worker包乱序,"1.消息传输路径不一致导致到达目的点顺序错乱；2.消息发送过程中传输路径发生切换",无影响,否,一般,rpc框架底层使用tcp协议，同一个rpc内乱序的包rpc框架会自动重排,NA,NA,无,NA,rpc框架对包乱序重排,rpc框架自动处理,现象：业务层面无感知；手段：日志,NA,NA,
datasystem,ds-worker,-,ds-worker与其他ds-worker错包/异常包,"1.被异常改写；2.释放后重用；3.数据帧长度判断错误将后续数据内容当作数据头部处理；4.没有判断内容长度异常情况下导致越界；5.传输错误",无影响,否,一般,错包/异常包被rpc框架丢弃重传,NA,NA,无,NA,rpc框架识丢弃异常包,rpc框架自动处理,现象：业务层面无感知；手段：日志,NA,NA,
datasystem,ds-worker,-,ds-worker与其他ds-worker TCP建链失败,"1.网络断链；2.上下游服务异常",数据读写功能受损，重试失败后会报错,是,一般,"【故障域】data worker之间",建链前检查,RPC框架建链检测,建链失败检测,worker_oc_service_get_impl.cpp,建链失败后记录日志并重试,RetryOnErrorRepent,现象：连接建立失败；手段：日志,"K_RPC_UNAVAILABLE (1001)",NA,
datasystem,ds-worker,UB,ds-worker与其他ds-worker建UB链路失败,"UB建链失败，Jetty资源数不够，内存不足等",数据读写功能受损，重试失败后会报错,是,一般,"【故障域】data worker之间",UB资源检查,URMA建链检测,建链失败检测,"urma_manager.cpp:1385 - [URMA_NEED_CONNECT]",建链失败后记录日志并重试,TryReconnectRemoteWorker,现象：连接建立失败；手段：日志,"K_URMA_NEED_CONNECT (1006)",NA,通过重试解决，超过一定时间后，异常进程需要触发缩容流程
datasystem,ds-worker,-,ds-worker上memory segment交换失败,"调用memory fabric失败，可能其元数据处理失败，memory segment失败",data worker启动失败,是,严重,"【故障域】data worker之间",BM_JOIN重试,bm_join接口重试,日志检测,urma_manager.cpp,节点拉起失败后退出，k8s自动重拉,k8s自动重拉,现象：进程启动报错；手段：日志,"K_URMA_ERROR (1004)",NA,对bm_join和init等接口调用失败做重试处理
datasystem,ds-worker,-,ds-worker上memory segment分配失败,"初始化时分配内存段失败，可能没有大页内存配额、容量不够等因素造成",data worker启动失败,是,严重,"【故障域】data worker之间",大页内存检查,大页内存配额检查,日志检测,allocator.cpp,节点拉起失败后退出，k8s自动重拉,k8s自动重拉,现象：进程启动报错；手段：日志,"K_OUT_OF_MEMORY (6)",NA,对内存分配接口报错会重试处理，仍然失败则进程启动失败，日志体现报错
datasystem,ds-worker,-,ds-worker端口/浮动IP绑定失败,"1.端口/浮动IP被占用；2.网卡设备异常",进程启动失败,是,一般,"【故障域】data worker之间",端口可用性检查,端口绑定检测,日志检测,worker_oc_service_impl.cpp,节点拉起失败后退出，k8s自动重拉,k8s自动重拉,现象：进程启动报错；手段：日志,"K_RUNTIME_ERROR (7)",NA,
